"IFSI.SF";"SEXE";"NEC.ARRET";"ENV.ARRET";"CIG.JOUR";"STADE.1";"STADE.2";"SCORES"
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";8;"b-C";"b-C";-2,36225523804499
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";7;"b-C";"b-C";2,66502737300807
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";10;"b-C";"b-C";-2,36225523804499
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";10;"b-C";"b-C";-1,47573907638765
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";10;"b-C";"b-C";-3,29634007557855
"IFSI";"H";"c-Entre les deux";"a-Pas du tout";10;"a-PC";"a-PC";-1,14344764131192
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";10;"b-C";"a-PC";-1,47573907638765
"IFSI";"H";"d-Plutot d'accord";"e-Tout a fait";10;"b-C";"b-C";-1,47573907638765
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";5;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";15;"c-P";"b-C";-2,7992949536619
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";5;"a-PC";"e-M";-2,36225523804499
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";5;"b-C";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";10;"b-C";"b-C";-1,77819821076708
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";3;"b-C";"b-C";-1,61899831094022
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";15;"a-PC";"a-PC";-2,90419977548187
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";10;"b-C";"a-PC";-1,53989920302634
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";2;"a-PC";"a-PC";1,83919496894518
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";8;"b-C";"c-P";2,66502737300807
"IFSI";"F";"e-Tout a fait";"a-Pas du tout";10;"b-C";"a-PC";-2,63233352282644
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";20;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";7;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"a-Pas du tout";15;"a-PC";"a-PC";-2,36225523804499
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";6;"a-PC";"a-PC";2,66502737300807
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";6;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"b-Plutot pas";"a-Pas du tout";8;"a-PC";"a-PC";-2,01994579553125
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";10;"b-C";"a-PC";-1,85876238798429
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";2;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";15;"b-C";"b-C";-1,53989920302634
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";10;"b-C";"a-PC";-2,97888519761287
"IFSI";"H";"e-Tout a fait";"e-Tout a fait";15;"b-C";"a-PC";-2,01994579553125
"IFSI";"H";"e-Tout a fait";"d-Plutot d'accord";15;"b-C";"b-C";-2,90419977548187
"IFSI";"H";"d-Plutot d'accord";"e-Tout a fait";10;"b-C";"b-C";-1,37670767474488
"IFSI";"H";"e-Tout a fait";"e-Tout a fait";5;"c-P";"e-M";-1,20991648130308
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";13;"a-PC";"b-C";-2,63233352282644
"IFSI";"F";"c-Entre les deux";"a-Pas du tout";14;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"b-C";"b-C";-2,7992949536619
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";15;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";20;"b-C";"c-P";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";10;"a-PC";"a-PC";-1,53989920302634
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";13;"c-P";"b-C";-1,53989920302634
"IFSI";"F";"e-Tout a fait";"b-Plutot pas";20;"b-C";"b-C";-2,97888519761287
"IFSI";"F";"b-Plutot pas";"c-Entre les deux";15;"a-PC";"b-C";-3,79370567887038
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";3;"a-PC";"b-C";-2,97888519761287
"IFSI";"H";"c-Entre les deux";"b-Plutot pas";5;"b-C";"a-PC";-6,3796857
"IFSI";"H";"d-Plutot d'accord";"d-Plutot d'accord";6;"a-PC";"a-PC";-1,37670767474488
"IFSI";"H";"d-Plutot d'accord";"d-Plutot d'accord";16;"b-C";"c-P";-2,7992949536619
